STU_ID,X1RACE,X1SEX,X1SES,X1SCIEFF,N1COURSE,X1SCIID,X1SCIUTI,X1SCIINT,S1TEFRNDS,S1TEACTIV,S1TEPOPULAR,S1TEMAKEFUN,X1CONTROL,X1LOCALE,N1SEX,X1TSRACE,X1TSCERT,N1HIDEG,N1SCIJOB,N1ALTCERT,N1SCIYRS912,N1GROUP,N1INTEREST,N1CONCEPTS,N1TERMS,S1STCHVALUES,S1STCHRESPCT,S1STCHFAIR,S1STCHCONF,S1STCHMISTKE,X3TGPAENG,X3TGPAMAT,X3TGPASCI,COURSE_TYPE,ALTCERT,SCIJOB,X1GEN,SCH_CONTROL,N1GEN,SCH_LOCALE
10001,8.0,1.0,1.5644,1.1,6.0,0.91,-0.33,-0.23,3.0,3.0,3.0,2.0,1,4,2.0,8.0,1.0,3.0,0.0,0.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.5,3.0,3.0,Physical Science,No,No,Male,Public,Female,Rural
10002,8.0,2.0,-0.3699,0.69,20.0,0.91,1.69,,2.0,2.0,4.0,3.0,1,4,1.0,8.0,1.0,4.0,0.0,1.0,5.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,Other Science,Yes,No,Female,Public,Male,Rural
10003,3.0,2.0,1.2741,-0.05,,-0.33,0.1,0.93,4.0,4.0,4.0,4.0,1,2,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.5,2.5,Other Science,Yes,Yes,Female,Public,,Suburban
10004,8.0,2.0,0.5498,0.25,,-0.33,0.1,-0.67,3.0,3.0,3.0,3.0,1,2,2.0,8.0,1.0,4.0,1.0,1.0,3.0,,,,,2.0,2.0,2.0,2.0,2.0,4.0,3.5,3.5,Other Science,Yes,Yes,Female,Public,Female,Suburban
10005,8.0,1.0,0.1495,0.25,12.0,-0.33,-1.88,-1.5,2.0,2.0,1.0,1.0,1,1,2.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,3.5,2.5,3.0,Life Science,Yes,Yes,Male,Public,Female,City
10006,8.0,2.0,1.0639,,6.0,-1.57,,,2.0,3.0,3.0,3.0,1,4,2.0,8.0,1.0,4.0,0.0,1.0,10.0,1.0,3.0,4.0,4.0,,,,,,3.0,3.0,3.0,Physical Science,Yes,No,Female,Public,Female,Rural
10007,8.0,2.0,-0.43,-1.74,4.0,-1.57,-0.89,0.16,2.0,2.0,3.0,3.0,1,4,2.0,8.0,1.0,4.0,0.0,1.0,12.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.0,Earth Science,Yes,No,Female,Public,Female,Rural
10008,8.0,1.0,1.5144,0.25,,-0.33,0.28,-0.21,3.0,2.0,3.0,4.0,1,3,,,,,,,,,,,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,Other Science,Yes,Yes,Male,Public,,Town
10009,8.0,1.0,-0.3103,0.25,,0.27,-1.5,-1.05,2.0,1.0,3.0,3.0,1,3,,,,,,,,,,,,3.0,2.0,2.0,2.0,3.0,3.0,3.5,4.0,Other Science,Yes,Yes,Male,Public,,Town
10010,8.0,2.0,0.0451,-0.91,,-0.33,-1.08,-1.38,3.0,3.0,3.0,3.0,1,1,2.0,8.0,1.0,4.0,1.0,1.0,6.0,,,,,2.0,2.0,2.0,2.0,2.0,3.5,4.0,3.5,Other Science,Yes,Yes,Female,Public,Female,City
